命令,功能
b,不sync系统或卸载磁盘挂载立即(强制)重启系统
c,触发一次系统crash，如果配置了kdump则触发Kernel dump
d,显示持有的所有锁
e,向除init进程外的所有进程发送 ``SIGTERM``
f,调用 ``oom killer`` 来杀死内存占用进程，不过如果无法杀死也不要惊慌
g,由 ``kgdb`` 使用 (kernel debugger)
h,显示帮助
i,向除init进程外的所有进程发送 ``SIGKILL``
j,强行"解冻它" - 通过 ``FIFREEZE`` ioctl 冻结的文件系统
k,安全访问密钥(Secure Access Key， SAK)杀死当前虚拟控制台上所有进程，注意参考下文SAK部分的重要注释
l,显示所有活动CPU的堆栈回溯(stack backtrace)
m,将当前内存信息转储(dump)到控制台
n,用于使RT任务更友好(nice-able)
o,关闭系统(如果已经配置和支持)
p,将当前寄存器和标志(registers and flags)转储到控制台
q,转储所有armed hrtimers(但 **不是** 常规 ``timeer_list`` 计时器)的每个CPU列表以及所有时钟事件(cloudevent)设备的详细信息
r,关闭键盘原始模式并将其设置为 XLATE
s,尝试同步所有已经挂载的文件系统
t,转储(dump)当前任务列表以及任务信息到控制台
u,尝试以只读方式重新挂载所有已经挂载的文件系统
v,强制恢复帧缓冲区控制台(framebuffer console)
v,触发ETM缓冲区转储(仅限ARM平台)
w,将处于不可中断(uninterruptable， blocked)状态的任务转储
x,由 ppc/powerpc 平台上的 xmon 接口使用， 在 sparc64 上显示全局 PMU 寄存器， 在 MIPS 上转储所有 TLB 条目
y,显示全局CPU寄存器(仅限SPARC-64平台)
z,转储ftrace缓存
0-9,设置控制台日志级别，控制哪些内核消息打印到控制台（例如，设置为0则表示只有像 ``PANIC`` 或 ``OOPS`` 紧急消息才会输出控制台
