快捷键,说明
``F1``,显示帮助
``i``,显示文档信息
``o``,显示文档大纲
``L``,高亮链接
``F``,高亮字段
``a``,显示注释编辑器
``<``,减小E-book字体
``>``,增大E-book字体
``A``,开启或关闭抗锯齿
``f``,切换全屏
``w``,调整窗口来适配阅读页面
``W``,调整页面宽度适配窗口
``H``,调整页面高度适配窗口
``Z``, **调整页面到窗口大小**
``[number]z``,按照DPI设置缩放比例
``+``,放大
``-``,缩小
``[``,逆时针旋转
``]``,顺时针旋转
``方向键或者h j k l``,以小增量平移页面(也就是翻页)
``b``, **智能向后移动一屏**
``空格键``, **智能向前移动一屏**
``g``,跳到第一页
``G``,跳到最后一页
``13g``,跳到第13页
``m``,保存当前页面到浏览历史
``t``,在浏览历史中返回
``T``,在浏览历史中向前
``13m``,将当前页面保存到数字13的书签中
``13t``,跳到数字13书签的页面
``/``,向前搜索
``?``,先后搜索
``n``,继续向前搜索
``N``,继续向后搜索
鼠标右键划过,复制被高亮的文字
