,Intel UHD Graphics 6300,Tesla P10
发布日,2017/9/1,2016/9/13
系列,Coffe Lake,Tesla
接口,,PCIe 3.0 x16
GPU,Coffee Lake GT2,GP102
架构,Generation 9.5,Pascal
工艺,14nm+++,16 nm
晶体管数,,11800 million
GPU裸片面积,,471 mm²
基准主频,350 MHz,1025 MHz
Boost主频,1050 MHz,1493 MHz
内存主频,系统共享,1808 MHz 14.5 Gbps
内存大小,系统共享,24 GB
内存类型,系统共享,GDDR5X
内存总线,系统共享,384 bit
内存带宽,系统共享,694.3 GB/s
着色单元,184,3840
纹理映射单元,23,240
ROP,3,96
L1 缓存,,48 KB(per SM)
L2 缓存,,3 MB
主板插槽,,单插槽
长度,,267 mm
宽度,,97 mm
厚度,,20 mm
TDP,,250 W
建议电源,,600 W
显示输出,,无
电源连接,,1x 8-pin
主板编号,,PG610 SKU 210
DirectX,12 (12_1),12 (12_1)
OpenGL,4.6,4.6
OpenCL,3.0,3.0
Vulkan,1.3,1.3
CUDA,,6.1
Shader Model,6.4,6.4
Pixel Rate,3.150 GPixel/s,143.3 GPixel/s
Texture Rate,24.15 GTexel/s,358.3 GTexel/s
FP16 (half) performance,772.8 GFLOPS (2:1),179.2 GFLOPS (1:64)
FP32 (float) performance,386.4 GFLOPS,11.47 TFLOPS
FP64 (double) performance,96.60 GFLOPS (1:4),358.3 GFLOPS (1:32)
