,Tesla P10,Tesla P4
发布日,2016/9/13,2016/9/13
系列,Tesla,Tesla
接口,PCIe 3.0 x16,PCIe 3.0 x16
GPU,GP102, ``GP104``
架构,Pascal,Pascal
工艺,16 nm,16 nm
晶体管数,118亿, ``72亿``
GPU裸片面积,471 mm², ``314 mm²``
基准主频,1025 MHz, ``886 MHz``
Boost主频,1493 MHz, ``1114 MHz``
内存主频,1808 MHz 14.5 Gbps, ``1502 MHz 6 Gbps`` 
内存大小,24 GB, ``8 GB``
内存类型,GDDR5X, ``GDDR5``
内存总线,384 bit, ``256 bit``
内存带宽,694.3 GB/s, ``192.3 GB/s``
着色单元,3840, ``2560``
纹理映射单元,240, ``160``
ROP,96, ``64``
L1 缓存,48 KB(per SM), ``48 KB (per SM)``
L2 缓存,3 MB, ``2 MB``
主板插槽,单插槽, 单插槽
长度,267 mm, ``168 mm``
宽度,97 mm, -
厚度,20 mm, -
TDP,250 W, ``75 W``
建议电源,600 W, ``250 W``
显示输出,无,无
电源连接,1x 8-pin, ``无``
主板编号,PG610 SKU 210, PG414 SKU 200
DirectX,12 (12_1),12 (12_1)
OpenGL,4.6,4.6
OpenCL,3.0,3.0
Vulkan,1.3,1.3
CUDA,6.1,6.1
Shader Model,6.4,6.8
Pixel Rate,143.3 GPixel/s, ``71.30 GPixel/s``
Texture Rate,358.3 GTexel/s, ``178.2 GTexel/s``
FP16 (half) performance,179.2 GFLOPS (1:64), ``89.12 GFLOPS (1:64)``
FP32 (float) performance,11.47 TFLOPS, ``5.704 TFLOPS``
FP64 (double) performance,358.3 GFLOPS (1:32), ``178.2 GFLOPS (1:32)``
