,Tesla T10,Tesla T4,Tesla P10,Tesla P100
发布日,2020,2018/9/13,2016/9/13,2016/6/20
系列,Tesla,Tesla,Tesla,Tesla
接口,PCIe 3.0 x16,PCIe 3.0 x16,PCIe 3.0 x16,PCIe 3.0 x16
GPU,TU102,TU104,GP102,GP100
架构,Turing,Turing,Pascal,Pascal
工艺,12 nm,12 nm,16 nm,16 nm
晶体管数,"18600 million","13600 million","11800 million","15300 million"
GPU裸片面积,754 mm²,545 mm²,471 mm²,610 mm²
**时钟频率(Clock Speeds)** ,,,,
基准主频,1065 MHz,585 MHz,1025 MHz,1190 MHz
Boost主频,1395 MHz,1590 MHz,1493 MHz,1329 MHz
内存主频,1575 MHz 12.6 Gbps,1250 MHz 10 Gbps,1808 MHz 14.5 Gbps,715 MHz 1430 Mbps
**内存(Memory)** ,,,,
内存大小,16 GB,16 GB,24 GB,16 GB
内存类型,GDDR6,GDDR6,GDDR5X,HBM2
内存总线,256 bit,256 bit,384 bit,4096 bit
内存带宽,403.2 GB/s,320.0 GB/s,694.3 GB/s,732.2 GB/s
**渲染配置(Render Config)** ,,,,
着色单元(Shading Units),3072,2560,3840,3584
纹理映射单元(Texture Mapping Units/TMUs),192,160,240,224
ROPs,96,64,96,96
SM Count, 48,40,30,
**Tensor Cores** , ``384`` , 320,,
**光线追踪RT Cores** , ``48`` , 40,,
L1 缓存(L1 Cache),64 KB(per SM),64 KB(per SM),48 KB(per SM),24 KB (per SM)
L2 缓存(L2 Cache),6 MB,4 MB,3 MB,4 MB
**主板设计** ,,,,
主板插槽,单插槽,单插槽,单插槽,双插槽
长度,267 mm,168 mm,267 mm,267 mm
宽度,111 mm,,97 mm,112 mm
厚度,20 mm,20 mm,20mm,40mm
TDP,150 W,70 W,250 W,250 W
建议电源,450 W,250 W,600 W,600 W
显示输出,无,无,无,无
电源连接,1x 8-pin,无需,1x 8-pin,1x 8-pin
主板编号,,PG611 SKU 50,PG610 SKU 210,PH400 SKU 201
**图形功能** ,,,,
DirectX,12 (12_1),12 (12_2),12 (12_1),12 (12_1)
OpenGL,4.6,4.6,4.6,4.6
OpenCL,3.0,3.0,3.0,3.0
Vulkan,1.3,1.3,1.3,1.3
CUDA,7.5,7.5,6.1,6.0
Shader Model,6.8,6.8,6.4,6.0
**理论性能** ,,,,
Pixel Rate, ``133.9 GPixel/s`` ,101.8 GPixel/s,143.3 GPixel/s,127.6 GPixel/s
Texture Rate, ``267.8 GTexel/s`` ,254.4 GTexel/s,358.3 GTexel/s,297.7 GTexel/s
FP16 (half) performance, ``17.14 TFLOPS (2:1)`` ,65.13TFLOPS (8:1),179.2 GFLOPS (1:64),19.05 TFLOPS (2:1)
FP32 (float) performance, ``8.571 TFLOPS`` ,8.141 TFLOPS,11.47 TFLOPS,9.526 TFLOPS
FP64 (double) performance, ``267.8 GFLOPS (1:32)`` ,254.4 GFLOPS (1:32),358.3 GFLOPS (1:32),4.763 TFLOPS (1:2)
