虚拟化层,主机IP,主机名,cpu,内存(G),磁盘(G),说明
1,192.168.8.204,a-b-data-1,2,6,12G+55G,lvm卷(数据基础服务)
1,192.168.8.204,etcd,,,,基础etcd服务
1,192.168.8.205,a-b-data-2,2,6,12G+55G,lvm卷(数据基础服务)
1,192.168.8.205,etcd,,,,基础etcd服务
1,192.168.8.206,a-b-data-3,2,6,12G+55G,lvm卷(数据基础服务)
1,192.168.8.206,etcd,,,,基础etcd服务
1,192.168.8.211,a-b-cache-1,2,4,,近端访问 a-data(缓存基础服务)
1,192.168.8.212,a-b-cache-2,2,4,,近端访问 a-data(缓存基础服务)
1,192.168.8.213,a-b-cache-3,2,4,,近端访问 z-data(缓存基础服务)
1,192.168.8.221,a-b-mon-1,2,4,,基础监控
1,192.168.8.222,a-b-mon-2,2,4,,基础监控
1,192.168.8.234,a-udev,1,2,6,编译(ubuntu20)
1,192.168.8.235,a-kdev,1,2,6,内核测试(fedora35)
1,192.168.8.239,a-codeready,2,2,6,OpenShift开发环境CodeReady
1,192.168.8.240,a-devstack,2,2,6,OpenStack开发环境DevStack
1,192.168.8.241,a-centos6,1,2,6,模版
1,192.168.8.242,a-centos7,1,2,6,模版
1,192.168.8.243,a-centos8,1,2,6,模版
1,192.168.8.244,a-fedora35,1,2,6,模版
1,192.168.8.245,a-ubuntu18,1,2,6,模版
1,192.168.8.246,a-ubuntu20,1,2,6,模版(ubuntu 20.04)
1,192.168.8.247,a-ubuntu20-rbd,2,4,7,模版(ubuntu 20.04)Ceph存储
1,192.168.8.249,a-centos9-rbd,2,4,7,模版(CentOS 9 Stream)Ceph存储
1,192.168.8.250,a-centos8-rbd,2,4,7,模版(CentOS 8)Ceph存储
1,192.168.8.251,a-centos7-rbd,2,4,7,模版(CentOS 7)Ceph存储
1,192.168.8.253,a-dev,2,4,6,fedora35
